show,showLen,showStops,showSegues,showEncore,showBereakout,showSets,showSetsAcustic,showSetsElectric,set1Len,set1Stops,set1Segues,set1Breakouts,set2Len,set3Stops,set2Segues,set2Breakouts,set3Len,set3Stops,set3Segues,set3Breakouts,showType,linup,guests
100,2,2,0,0,22,1,0,0,2,2,0,22,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
101,7,7,0,0,113,1,0,0,7,7,0,113,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
2046,20,9,11,1,606,2,0,0,9,7,2,127,11,2,9,479,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2047,20,12,8,1,161,2,0,0,8,8,0,84,12,4,8,77,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2044,20,12,8,1,139,2,0,0,8,8,0,66,12,4,8,73,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2045,22,13,9,1,1815,2,0,0,8,8,0,116,14,5,9,1699,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2042,21,12,9,1,139,2,0,0,10,9,1,75,11,3,8,64,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2043,20,11,9,1,226,2,0,0,8,8,0,107,12,3,9,119,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2040,21,13,8,1,1071,2,0,0,9,9,0,726,12,4,8,345,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2041,20,12,8,1,1091,2,0,0,9,9,0,1046,11,3,8,45,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2048,20,13,7,1,294,2,0,0,8,8,0,216,12,5,7,78,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2049,19,12,7,1,194,2,0,0,8,8,0,136,11,4,7,58,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1210,22,14,8,1,234,2,0,0,9,8,1,31,13,6,7,203,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey, Lee Oskar (harmonica),
1991,21,11,10,1,103,2,0,0,8,7,1,43,13,4,9,60,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1990,18,11,7,1,83,2,0,0,8,7,1,44,10,4,6,39,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Clarence Clemons (sax),
1621,17,9,8,1,53,2,0,0,7,7,0,23,10,2,8,30,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1620,20,11,9,1,69,2,0,0,9,8,1,32,11,3,8,37,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
