show,showLen,showStops,showSegues,showEncore,showBereakout,showSets,showSetsAcustic,showSetsElectric,set1Len,set1Stops,set1Segues,set1Breakouts,set2Len,set3Stops,set2Segues,set2Breakouts,set3Len,set3Stops,set3Segues,set3Breakouts,showType,linup,guests
1393,24,12,12,1,96,2,0,0,12,8,4,47,12,4,8,49,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Matt Kelly Airto Moreira  Flora Purim,
1392,18,6,12,1,91,2,0,0,9,4,5,53,9,2,7,38,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Airto Moreira  Flora Purim,
1391,23,7,16,1,80,2,0,0,11,5,6,39,12,2,10,41,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1390,9,9,0,0,40,1,0,0,9,9,0,40,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1443,24,10,14,1,305,2,0,0,10,6,4,20,14,4,10,285,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
2183,20,10,10,1,131,2,0,0,9,8,1,86,11,2,9,45,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2182,14,10,4,2,47,1,0,0,14,10,4,47,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey, Neil Young (guitar and vocal) John Fogerty (guitar and vocals) John Popper (harmonica),
2181,20,9,11,1,202,2,0,0,7,5,2,50,13,4,9,152,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey, Gary Duncan (guitar)  Ken Kesey (rap) Gary Duncan (guitar),
2180,17,9,8,1,85,2,0,0,8,7,1,46,9,2,7,39,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey,,
2187,20,11,9,1,94,2,0,0,9,7,2,41,11,4,7,53,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2186,19,10,9,1,130,2,0,0,10,8,2,87,9,2,7,43,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Airto Moreira (drums  vocals),
2185,21,12,9,1,135,2,0,0,9,7,2,84,12,5,7,51,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Airto Moreira (drums  vocals),
2184,22,9,13,1,1471,2,0,0,9,7,2,70,13,2,11,1401,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey,,
2189,19,8,11,1,252,2,0,0,6,6,0,46,13,2,11,206,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2188,19,11,8,1,65,2,0,0,7,7,0,21,12,4,8,44,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Baba Olatunji,
223,1,1,0,0,1,1,0,0,1,1,0,1,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
222,13,13,0,0,498,1,0,0,13,13,0,498,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
2213,19,11,8,1,165,2,0,0,8,8,0,99,11,3,8,66,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2212,19,10,9,2,174,2,0,0,8,7,1,75,11,3,8,99,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2211,17,10,7,1,125,2,0,0,7,7,0,60,10,3,7,65,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2210,18,11,7,1,133,2,0,0,7,7,0,64,11,4,7,69,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2217,19,10,9,1,266,2,0,0,7,7,0,35,12,3,9,231,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2216,20,10,10,2,111,2,0,0,8,7,1,77,12,3,9,34,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2215,22,11,11,2,143,2,0,0,8,6,2,84,14,5,9,59,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Steve Miller,
2214,20,11,9,1,599,2,0,0,8,7,1,124,12,4,8,475,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2219,18,11,7,1,160,2,0,0,8,8,0,69,10,3,7,91,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2218,18,11,7,1,130,2,0,0,8,7,1,65,10,4,6,65,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
763,23,16,7,0,46,2,0,0,13,8,5,27,10,8,2,19,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
2439,19,13,6,1,149,2,0,0,9,8,1,76,10,5,5,73,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2438,19,13,6,1,113,2,0,0,7,7,0,63,12,6,6,50,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
157,3,3,0,0,52,1,0,0,3,3,0,52,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill, Charles LIoyd,
2433,17,12,5,1,129,2,0,0,7,7,0,67,10,5,5,62,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2432,17,11,6,1,105,2,0,0,6,5,1,43,11,6,5,62,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2431,18,11,7,1,164,2,0,0,7,7,0,56,11,4,7,108,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Carter Beauford,
2430,17,10,7,1,203,2,0,0,6,6,0,154,11,4,7,49,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2437,20,10,10,1,144,2,0,0,8,8,0,80,12,2,10,64,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Gyoto Monks,
2436,18,12,6,1,187,2,0,0,8,8,0,130,10,4,6,57,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2435,17,11,6,1,130,2,0,0,7,7,0,52,10,4,6,78,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2434,17,8,9,1,139,2,0,0,7,5,2,63,10,3,7,76,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
1712,21,6,15,1,93,2,0,0,9,3,6,41,12,3,9,52,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1807,19,10,9,1,127,2,0,0,7,7,0,79,12,3,9,48,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1806,20,8,12,1,254,2,0,0,8,6,2,189,12,2,10,65,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1805,19,11,8,1,138,2,0,0,8,7,1,69,11,4,7,69,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1804,21,12,9,1,117,2,0,0,9,8,1,64,12,4,8,53,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1803,18,10,8,1,121,2,0,0,8,7,1,42,10,3,7,79,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1802,21,13,8,1,119,2,0,0,9,8,1,37,12,5,7,82,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1801,18,10,8,1,203,2,0,0,8,8,0,59,10,2,8,144,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1800,18,12,6,1,91,2,0,0,8,8,0,58,10,4,6,33,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Dirty Dozen Brass Band,
1809,22,11,11,1,117,2,0,0,10,9,1,67,12,2,10,50,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1808,21,10,11,1,113,2,0,0,10,6,4,72,11,4,7,41,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1524,23,10,13,1,388,2,0,0,9,6,3,18,14,4,10,370,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1948,17,9,8,1,68,2,0,0,7,6,1,35,10,3,7,33,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1949,18,10,8,1,108,2,0,0,8,8,0,51,10,2,8,57,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1525,19,10,9,1,61,2,0,0,10,7,3,36,9,3,6,25,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1942,18,8,10,1,88,2,0,0,7,6,1,51,11,2,9,37,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1943,19,9,10,1,187,2,0,0,7,7,0,53,12,2,10,134,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1940,18,6,12,1,81,2,0,0,6,4,2,29,12,2,10,52,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1941,20,12,8,1,120,2,0,0,8,8,0,66,12,4,8,54,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1946,19,12,7,1,104,2,0,0,8,8,0,55,11,4,7,49,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1947,21,16,5,2,103,2,0,0,8,8,0,62,13,8,5,41,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Suzanne Vega (acoustic guitar  vocals) Daryl Hall (guitar  vocals)  John Oats (guitar)  Tom "T-Bone" Wolk (acoustic guitar  accordion  bass)  Mark Rivera (saxophone) Baba Olatunji  Bruce Hornsby (accordion) Baba Olatunji  Michael Hinton Daryl Hall (vocals)  John Oats (guitar  vocals)  Jack Casady (bass)  Bruce Hornsby (vocals  elctric piano  accordion) Baba Olatunji Daryl Hall (vocals)  John Oats (guitar  vocals)  Jack Casady (bass)  Bruce Hornsby (vocals  elctric piano  accordion)  Suzanne Vega (vocals) Mick Taylor,
1944,18,11,7,1,173,2,0,0,8,7,1,80,10,4,6,93,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1945,20,10,10,1,175,2,0,0,8,6,2,54,12,4,8,121,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
818,24,21,3,0,66,2,0,0,13,13,0,41,11,8,3,25,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
819,30,24,6,1,42,2,0,0,14,14,0,20,16,10,6,22,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
1527,20,6,14,2,73,2,0,0,7,4,3,31,13,2,11,42,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
810,19,16,3,0,28,1,0,0,19,16,3,28,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
811,23,18,5,1,36,2,0,0,11,8,3,20,12,10,2,16,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
812,20,16,4,0,82,2,0,0,10,10,0,57,10,6,4,25,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
813,22,18,4,0,69,2,0,0,11,11,0,21,11,7,4,48,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
814,23,19,4,2,32,2,0,0,13,13,0,16,10,6,4,16,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
815,20,13,7,2,38,2,0,0,11,10,1,14,9,3,6,24,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
816,11,9,2,0,3,1,0,0,11,9,2,3,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Mickey,John Cipollina  Merl Saunders   Nicky Hopkins  David Crosby,
817,31,21,10,0,76,2,0,0,15,14,1,35,16,7,9,41,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
1623,19,9,10,1,96,2,0,0,8,7,1,51,11,2,9,45,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1522,23,10,13,2,137,2,0,0,11,8,3,43,12,2,10,94,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Zakir Hussain John Cipollina,
1622,20,11,9,1,144,2,0,0,9,7,2,46,11,4,7,98,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1523,24,12,12,2,84,2,0,0,11,9,2,40,13,3,10,44,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1993,22,14,8,1,1293,2,0,0,10,10,0,1239,12,4,8,54,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey, Clarence Clemons (sax),
1490,21,7,14,1,54,2,0,0,10,5,5,24,11,2,9,30,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1491,21,10,11,1,73,2,0,0,10,6,4,38,11,4,7,35,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1492,21,11,10,1,56,2,0,0,10,6,4,25,11,5,6,31,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1493,22,9,13,1,74,2,0,0,11,7,4,41,11,2,9,33,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1494,20,8,12,1,82,2,0,0,9,6,3,45,11,2,9,37,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1495,23,11,12,1,137,2,0,0,12,9,3,76,11,2,9,61,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1496,19,9,10,1,113,2,0,0,8,7,1,27,11,2,9,86,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1497,21,11,10,1,102,2,0,0,10,7,3,46,11,4,7,56,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1498,21,9,12,1,142,2,0,0,9,5,4,96,12,4,8,46,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1627,19,8,11,1,112,2,0,0,6,5,1,46,13,3,10,66,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1395,21,10,11,1,78,2,0,0,9,8,1,33,12,2,10,45,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1626,22,10,12,1,122,2,0,0,10,8,2,56,12,2,10,66,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1700,22,8,14,1,114,2,0,0,10,5,5,39,12,3,9,75,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1701,22,8,14,1,89,2,0,0,9,6,3,49,13,2,11,40,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1702,20,6,14,2,80,2,0,0,7,3,4,27,13,3,10,53,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1703,19,8,11,1,570,2,0,0,9,6,3,210,10,2,8,360,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1704,21,8,13,2,90,2,0,0,8,5,3,48,13,3,10,42,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1705,22,11,11,1,1116,2,0,0,9,8,1,256,13,3,10,860,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1706,20,7,13,1,94,2,0,0,9,5,4,50,11,2,9,44,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1707,21,8,13,1,107,2,0,0,9,6,3,67,12,2,10,40,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1708,22,9,13,1,145,2,0,0,8,7,1,71,14,2,12,74,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1709,22,9,13,1,146,2,0,0,11,7,4,104,11,2,9,42,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1624,19,10,9,1,85,2,0,0,9,7,2,46,10,3,7,39,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1128,23,14,9,1,92,2,0,0,11,10,1,52,12,4,8,40,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1129,22,14,8,2,80,2,0,0,9,9,0,36,13,5,8,44,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1120,19,12,7,0,131,2,0,0,9,8,1,35,10,4,6,96,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1121,24,15,9,1,91,2,0,0,12,11,1,31,12,4,8,60,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1122,23,16,7,1,84,2,0,0,10,9,1,23,13,7,6,61,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1123,22,13,9,1,52,2,0,0,11,10,1,25,11,3,8,27,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1124,21,16,5,1,73,2,0,0,11,11,0,39,10,5,5,34,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1125,20,12,8,1,76,2,0,0,10,8,2,53,10,4,6,23,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1126,26,16,10,1,72,2,0,0,12,11,1,25,14,5,9,47,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1127,21,14,7,2,42,2,0,0,8,8,0,11,13,6,7,31,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
524,11,7,4,0,1271,1,0,0,11,7,4,1271,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
525,5,5,0,0,45,1,0,0,5,5,0,45,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
526,8,5,3,0,17,1,0,0,8,5,3,17,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
527,12,4,8,0,32,1,0,0,12,4,8,32,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey, Gregg Rolie? (vocals)  Mike Carabello (percussion)  Chepito Areas (percussion) Mike Carabello (percussion)  Chepito Areas (percussion),
1018,25,20,5,1,50,2,0,0,16,13,3,23,9,7,2,27,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill,,
1019,24,18,6,1,38,2,0,0,13,12,1,17,11,6,5,21,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill,,
522,14,7,7,1,33,2,0,0,7,3,4,17,7,4,3,16,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
523,4,4,0,0,12,1,0,0,4,4,0,12,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Tom  Bill  Mickey,,
1014,25,20,5,0,71,2,0,0,16,15,1,23,9,5,4,48,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill,,
1015,25,20,5,1,46,2,0,0,13,13,0,20,12,7,5,26,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill,,
1016,26,22,4,0,58,2,0,0,13,13,0,30,13,9,4,28,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill,,
1017,32,23,9,1,67,2,0,0,16,15,1,31,16,8,8,36,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill,,
1010,30,24,6,1,80,3,0,0,12,12,0,29,9,6,3,19,9,6,3,32,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill,,
1011,30,20,10,3,72,2,0,0,13,11,2,24,17,9,8,48,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill,,
1012,28,20,8,1,184,2,0,0,11,10,1,26,17,10,7,158,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill,,
1013,32,24,8,1,42,2,0,0,17,14,3,20,15,10,5,22,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill,,
1234,22,15,7,1,59,2,0,0,12,10,2,33,10,5,5,26,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1235,27,15,12,1,158,2,0,0,12,11,1,29,15,4,11,129,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey, Lee Oskar Hamza El Din,
1236,27,11,16,3,548,3,0,0,10,5,5,181,8,3,5,18,9,3,6,349,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey, Matt Kelly John Cipollina Lee Oscar  Greg Errico  Ken Kesey,
1237,22,13,9,1,154,2,0,0,10,9,1,24,12,4,8,130,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1230,23,13,10,1,71,2,0,0,11,8,3,35,12,5,7,36,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1231,24,15,9,1,66,2,0,0,12,11,1,37,12,4,8,29,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1232,18,11,7,0,49,2,0,0,10,8,2,31,8,3,5,18,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1233,20,12,8,1,50,2,0,0,9,7,2,21,11,5,6,29,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1238,20,13,7,1,61,2,0,0,9,9,0,46,11,4,7,15,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
1239,21,12,9,1,68,2,0,0,11,8,3,39,10,4,6,29,[],[],[],0,Acustic,Jerry  Bob  Phil  Keith  Donna  Bill  Mickey,,
439,3,3,0,0,12,1,0,0,3,3,0,12,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Mickey,,
436,1,1,0,0,1,1,0,0,1,1,0,1,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Mickey,,
435,12,5,7,0,143,1,0,0,12,5,7,143,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Mickey,,
430,1,1,0,0,16,1,0,0,1,1,0,16,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill  Mickey,,
1630,22,10,12,1,205,2,0,0,11,8,3,73,11,2,9,132,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1960,19,11,8,1,77,2,0,0,8,8,0,28,11,3,8,49,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1961,19,7,12,1,153,2,0,0,7,5,2,44,12,2,10,109,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
238,2,2,0,0,46,1,0,0,2,2,0,46,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
239,7,7,0,0,365,1,0,0,7,7,0,365,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
234,4,3,1,0,75,1,0,0,4,3,1,75,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
236,1,1,0,0,2,1,0,0,1,1,0,2,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
2228,21,13,8,1,465,2,0,0,9,8,1,59,12,5,7,406,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Steve Miller (guitar)  James Cotton (harmonica) Steve Miller (guitar),
2229,19,10,9,1,105,2,0,0,8,7,1,45,11,3,8,60,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2226,20,11,9,1,183,2,0,0,8,8,0,58,12,3,9,125,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2227,20,12,8,1,167,2,0,0,9,7,2,113,11,5,6,54,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2224,16,9,7,1,177,2,0,0,6,6,0,43,10,3,7,134,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2225,20,11,9,2,649,2,0,0,9,8,1,51,11,3,8,598,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Steve Miller  Bruce Hornsby (accordion),
2222,17,9,8,1,112,2,0,0,6,6,0,43,11,3,8,69,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Steve Miller (guitar),
2223,18,10,8,1,155,2,0,0,8,6,2,84,10,4,6,71,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2220,19,12,7,1,100,2,0,0,8,8,0,56,11,4,7,44,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2221,18,15,3,2,107,2,0,0,7,7,0,60,11,8,3,47,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey, Steve Miller (guitar),
145,1,1,0,0,12,1,0,0,1,1,0,12,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
143,7,7,0,1,110,1,0,0,7,7,0,110,[],[],[],0,[],[],[],0,Acustic,Jerry  Bob  Phil  Pigpen  Bill,,
2088,19,11,8,1,61,2,0,0,8,8,0,30,11,3,8,31,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey,,
2089,21,13,8,1,294,2,0,0,10,10,0,257,11,3,8,37,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey,,
2082,19,11,8,1,109,2,0,0,8,8,0,77,11,3,8,32,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2083,21,11,10,1,94,2,0,0,9,8,1,46,12,3,9,48,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey,,
2080,22,12,10,1,135,2,0,0,9,8,1,60,13,4,9,75,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2081,18,10,8,1,327,2,0,0,9,7,2,58,9,3,6,269,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bill  Mickey,,
2086,21,8,13,1,178,2,0,0,9,6,3,112,12,2,10,66,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey,,
2087,21,12,9,1,309,2,0,0,8,7,1,155,13,5,8,154,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey,,
2084,20,12,8,1,97,2,0,0,8,8,0,40,12,4,8,57,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey,,
2085,18,9,9,1,118,2,0,0,8,7,1,79,10,2,8,39,[],[],[],0,Acustic,Jerry  Bob  Phil  Vince  Bruce  Bill  Mickey,,
1832,19,11,8,1,88,2,0,0,8,6,2,42,11,5,6,46,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
1833,25,12,13,1,217,2,0,0,11,10,1,52,14,2,12,165,[],[],[],0,Acustic,Jerry  Bob  Phil  Brent  Bill  Mickey,,
